Date,HomeTeam,AwayTeam,MatchInfo,TotalScore,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20
20.11.2021 19:00,Bangladesh,Pakistan,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",108/7 (20),2 runs,3 runs,12 runs,6 runs,7 runs,6 runs,6 runs,9 runs,6 runs,7 runs,8 runs,6 runs,3 runs,2 runs,2 runs,4 runs,2 runs,9 runs,4 runs,4 runs
20.11.2021 19:00,Bangladesh,Pakistan,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",109/2 (18.1),5 runs,4 runs,3 runs,3 runs,9 runs,3 runs,5 runs,4 runs,5 runs,9 runs,8 runs,13 runs,4 runs,8 runs,12 runs,4 runs,3 runs,6 runs,1 run,
20.11.2021 00:30,India,New Zealand,"Referee: Nayyar M. (Ind), Venue: JSCA International Stadium Complex (Ranchi)",155/3 (17.2),8 runs,8 runs,2 runs,14 runs,3 runs,10 runs,7 runs,5 runs,6 runs,16 runs,13 runs,13 runs,11 runs,6 runs,12 runs,3 runs,6 runs,12 runs,,
20.11.2021 00:30,India,New Zealand,"Referee: Nayyar M. (Ind), Venue: JSCA International Stadium Complex (Ranchi)",153/6 (20),14 runs,10 runs,5 runs,13 runs,14 runs,8 runs,5 runs,4 runs,7 runs,4 runs,6 runs,4 runs,8 runs,12 runs,11 runs,3 runs,10 runs,2 runs,6 runs,7 runs
19.11.2021 19:00,Bangladesh,Pakistan,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",127/7 (20),2 runs,5 runs,3 runs,2 runs,4 runs,9 runs,8 runs,4 runs,3 runs,0 runs,15 runs,4 runs,3 runs,5 runs,13 runs,12 runs,4 runs,5 runs,11 runs,15 runs
19.11.2021 19:00,Bangladesh,Pakistan,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",132/6 (19.2),4 runs,9 runs,3 runs,6 runs,1 run,1 run,6 runs,2 runs,6 runs,2 runs,8 runs,7 runs,11 runs,10 runs,6 runs,8 runs,6 runs,15 runs,15 runs,6 runs
18.11.2021 00:30,India,New Zealand,"Referee: Nayyar M. (Ind), Venue: Sawai Mansingh Stadium (Jaipur)",166/5 (19.4),7 runs,2 runs,15 runs,5 runs,21 runs,6 runs,7 runs,4 runs,12 runs,6 runs,4 runs,15 runs,5 runs,6 runs,12 runs,15 runs,2 runs,5 runs,6 runs,11 runs
18.11.2021 00:30,India,New Zealand,"Referee: Nayyar M. (Ind), Venue: Sawai Mansingh Stadium (Jaipur)",164/6 (20),2 runs,9 runs,4 runs,5 runs,6 runs,15 runs,7 runs,7 runs,7 runs,3 runs,16 runs,15 runs,10 runs,4 runs,13 runs,7 runs,14 runs,8 runs,5 runs,7 runs
10.10.2021 21:30,Namibia,Papua New Guinea,Venue: ICC Academy (Dubai),174/6 (20),7 runs,2 runs,15 runs,5 runs,21 runs,6 runs,7 runs,4 runs,12 runs,6 runs,4 runs,15 runs,5 runs,6 runs,12 runs,15 runs,2 runs,5 runs,6 runs,11 runs
10.10.2021 21:30,Namibia,Papua New Guinea,Venue: ICC Academy (Dubai),160/6 (20),2 runs,9 runs,4 runs,5 runs,6 runs,15 runs,7 runs,7 runs,7 runs,3 runs,16 runs,15 runs,10 runs,4 runs,13 runs,7 runs,14 runs,8 runs,5 runs,7 runs
10.10.2021 17:00,United Arab Emirates,Ireland,Venue: ICC Academy (Dubai),139/3 (16.1),7 runs,2 runs,15 runs,5 runs,21 runs,6 runs,7 runs,4 runs,12 runs,6 runs,4 runs,15 runs,5 runs,6 runs,12 runs,15 runs,2 runs,5 runs,6 runs,11 runs
10.10.2021 17:00,United Arab Emirates,Ireland,Venue: ICC Academy (Dubai),134/5 (20),2 runs,9 runs,4 runs,5 runs,6 runs,15 runs,7 runs,7 runs,7 runs,3 runs,16 runs,15 runs,10 runs,4 runs,13 runs,7 runs,14 runs,8 runs,5 runs,7 runs
10.10.2021 02:30,Oman,Sri Lanka,"Referee: Mohan R. (Oma), Venue: Al Amerat Cricket Ground (Al Amarat)",159/8 (20),6 runs,4 runs,5 runs,8 runs,13 runs,8 runs,4 runs,13 runs,14 runs,2 runs,6 runs,5 runs,12 runs,5 runs,7 runs,17 runs,11 runs,6 runs,7 runs,6 runs
10.10.2021 02:30,Oman,Sri Lanka,"Referee: Mohan R. (Oma), Venue: Al Amerat Cricket Ground (Al Amarat)",163/5 (17.3),11 runs,6 runs,12 runs,9 runs,4 runs,6 runs,4 runs,13 runs,19 runs,5 runs,0 runs,9 runs,10 runs,9 runs,13 runs,12 runs,12 runs,9 runs,,
09.10.2021 17:30,Namibia,Scotland,Venue: ICC Academy (Dubai),138/5 (17.4),6 runs,4 runs,5 runs,8 runs,13 runs,8 runs,4 runs,13 runs,14 runs,2 runs,6 runs,5 runs,12 runs,5 runs,7 runs,17 runs,11 runs,6 runs,7 runs,6 runs
09.10.2021 17:30,Namibia,Scotland,Venue: ICC Academy (Dubai),137/8 (20),11 runs,6 runs,12 runs,9 runs,4 runs,6 runs,4 runs,13 runs,19 runs,5 runs,0 runs,9 runs,10 runs,9 runs,13 runs,12 runs,12 runs,9 runs,,
08.10.2021 21:30,Papua New Guinea,Scotland,Venue: ICC Academy (Dubai),154/5 (20),11 runs,6 runs,12 runs,9 runs,4 runs,6 runs,4 runs,13 runs,19 runs,5 runs,0 runs,9 runs,10 runs,9 runs,13 runs,12 runs,12 runs,9 runs,,
08.10.2021 21:30,Papua New Guinea,Scotland,Venue: ICC Academy (Dubai),156/2 (17.5),6 runs,4 runs,5 runs,8 runs,13 runs,8 runs,4 runs,13 runs,14 runs,2 runs,6 runs,5 runs,12 runs,5 runs,7 runs,17 runs,11 runs,6 runs,7 runs,6 runs
08.10.2021 17:00,United Arab Emirates,Ireland,Venue: ICC Academy (Dubai),163/4 (20),11 runs,6 runs,12 runs,9 runs,4 runs,6 runs,4 runs,13 runs,19 runs,5 runs,0 runs,9 runs,10 runs,9 runs,13 runs,12 runs,12 runs,9 runs,,
08.10.2021 17:00,United Arab Emirates,Ireland,Venue: ICC Academy (Dubai),109/10 (18.4),6 runs,4 runs,5 runs,8 runs,13 runs,8 runs,4 runs,13 runs,14 runs,2 runs,6 runs,5 runs,12 runs,5 runs,7 runs,17 runs,11 runs,6 runs,7 runs,6 runs
07.10.2021 22:30,Oman,Sri Lanka,"Referee: Srinivasan A. (Oma), Venue: Al Amerat Cricket Ground (Al Amarat)",143/8 (20),2 runs,5 runs,5 runs,8 runs,1 run,3 runs,3 runs,8 runs,4 runs,10 runs,3 runs,9 runs,5 runs,10 runs,10 runs,11 runs,13 runs,10 runs,22 runs,20 runs
07.10.2021 22:30,Oman,Sri Lanka,"Referee: Srinivasan A. (Oma), Venue: Al Amerat Cricket Ground (Al Amarat)",162/4 (20),2 runs,7 runs,5 runs,6 runs,3 runs,2 runs,8 runs,6 runs,2 runs,10 runs,3 runs,7 runs,10 runs,8 runs,8 runs,8 runs,9 runs,17 runs,12 runs,10 runs
07.10.2021 17:30,United Arab Emirates,Ireland,Venue: ICC Academy (Dubai),123/7 (20),2 runs,7 runs,5 runs,6 runs,3 runs,2 runs,8 runs,6 runs,2 runs,10 runs,3 runs,7 runs,10 runs,8 runs,8 runs,8 runs,9 runs,17 runs,12 runs,10 runs
07.10.2021 17:30,United Arab Emirates,Ireland,Venue: ICC Academy (Dubai),124/3 (18.5),2 runs,5 runs,5 runs,8 runs,1 run,3 runs,3 runs,8 runs,4 runs,10 runs,3 runs,9 runs,5 runs,10 runs,10 runs,11 runs,13 runs,10 runs,22 runs,20 runs
05.10.2021 17:30,Namibia,United Arab Emirates,Venue: ICC Academy (Dubai),159/8 (20),2 runs,7 runs,5 runs,6 runs,3 runs,2 runs,8 runs,6 runs,2 runs,10 runs,3 runs,7 runs,10 runs,8 runs,8 runs,8 runs,9 runs,17 runs,12 runs,10 runs
05.10.2021 17:30,Namibia,United Arab Emirates,Venue: ICC Academy (Dubai),142/9 (20),2 runs,5 runs,5 runs,8 runs,1 run,3 runs,3 runs,8 runs,4 runs,10 runs,3 runs,9 runs,5 runs,10 runs,10 runs,11 runs,13 runs,10 runs,22 runs,20 runs
20.09.2021 01:00,Scotland,Zimbabwe,Venue: Grange Cricket Club Ground (Edinburgh),177/4 (20),2 runs,5 runs,5 runs,8 runs,1 run,3 runs,3 runs,8 runs,4 runs,10 runs,3 runs,9 runs,5 runs,10 runs,10 runs,11 runs,13 runs,10 runs,22 runs,20 runs
20.09.2021 01:00,Scotland,Zimbabwe,Venue: Grange Cricket Club Ground (Edinburgh),180/4 (19.1),2 runs,7 runs,5 runs,6 runs,3 runs,2 runs,8 runs,6 runs,2 runs,10 runs,3 runs,7 runs,10 runs,8 runs,8 runs,8 runs,9 runs,17 runs,12 runs,10 runs
18.09.2021 01:00,Scotland,Zimbabwe,"Referee: Jukes D. (Eng), Venue: Grange Cricket Club Ground (Edinburgh)",126/10 (19.4),2 runs,7 runs,5 runs,6 runs,3 runs,2 runs,8 runs,6 runs,2 runs,10 runs,3 runs,7 runs,10 runs,8 runs,8 runs,8 runs,9 runs,17 runs,12 runs,10 runs
18.09.2021 01:00,Scotland,Zimbabwe,"Referee: Jukes D. (Eng), Venue: Grange Cricket Club Ground (Edinburgh)",136/5 (20),2 runs,5 runs,5 runs,8 runs,1 run,3 runs,3 runs,8 runs,4 runs,10 runs,3 runs,9 runs,5 runs,10 runs,10 runs,11 runs,13 runs,10 runs,22 runs,20 runs
16.09.2021 01:00,Scotland,Zimbabwe,Venue: Grange Cricket Club Ground (Edinburgh),141/6 (20),2 runs,7 runs,5 runs,6 runs,3 runs,2 runs,8 runs,6 runs,2 runs,10 runs,3 runs,7 runs,10 runs,8 runs,8 runs,8 runs,9 runs,17 runs,12 runs,10 runs
16.09.2021 01:00,Scotland,Zimbabwe,Venue: Grange Cricket Club Ground (Edinburgh),134/9 (20),2 runs,5 runs,5 runs,8 runs,1 run,3 runs,3 runs,8 runs,4 runs,10 runs,3 runs,9 runs,5 runs,10 runs,10 runs,11 runs,13 runs,10 runs,22 runs,20 runs
15.09.2021 01:30,Sri Lanka,South Africa,"Referee: Madugalle R. (Sri), Venue: R. Premadasa Stadium (Colombo)",120/8 (20),11 runs,8 runs,2 runs,7 runs,11 runs,8 runs,5 runs,3 runs,6 runs,1 run,4 runs,8 runs,6 runs,6 runs,0 runs,3 runs,4 runs,7 runs,11 runs,9 runs
15.09.2021 01:30,Sri Lanka,South Africa,"Referee: Madugalle R. (Sri), Venue: R. Premadasa Stadium (Colombo)",121/0 (14.4),2 runs,6 runs,10 runs,13 runs,8 runs,7 runs,9 runs,9 runs,8 runs,9 runs,6 runs,8 runs,14 runs,5 runs,7 runs,,,,,
13.09.2021 01:30,Sri Lanka,South Africa,"Referee: Madugalle R. (Sri), Venue: R. Premadasa Stadium (Colombo)",103/10 (18.1),4 runs,6 runs,15 runs,2 runs,11 runs,14 runs,6 runs,2 runs,5 runs,10 runs,3 runs,5 runs,4 runs,7 runs,3 runs,5 runs,1 run,0 runs,0 runs,
13.09.2021 01:30,Sri Lanka,South Africa,"Referee: Madugalle R. (Sri), Venue: R. Premadasa Stadium (Colombo)",105/1 (14.1),5 runs,9 runs,8 runs,6 runs,12 runs,9 runs,6 runs,6 runs,4 runs,6 runs,4 runs,9 runs,8 runs,9 runs,4 runs,,,,,
11.09.2021 01:30,Sri Lanka,South Africa,"Referee: Madugalle R. (Sri), Venue: R. Premadasa Stadium (Colombo)",135/6 (20),5 runs,4 runs,14 runs,8 runs,9 runs,7 runs,7 runs,4 runs,11 runs,4 runs,6 runs,5 runs,3 runs,7 runs,13 runs,10 runs,13 runs,17 runs,6 runs,10 runs
11.09.2021 01:30,Sri Lanka,South Africa,"Referee: Madugalle R. (Sri), Venue: R. Premadasa Stadium (Colombo)",163/5 (20),2 runs,11 runs,7 runs,7 runs,6 runs,1 run,2 runs,8 runs,3 runs,10 runs,11 runs,10 runs,4 runs,6 runs,7 runs,9 runs,8 runs,6 runs,4 runs,13 runs
10.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",134/8 (20),2 runs,12 runs,5 runs,19 runs,9 runs,11 runs,5 runs,4 runs,4 runs,10 runs,4 runs,4 runs,3 runs,4 runs,11 runs,9 runs,9 runs,8 runs,18 runs,10 runs
10.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",161/5 (20),8 runs,1 run,9 runs,6 runs,3 runs,8 runs,4 runs,5 runs,2 runs,2 runs,8 runs,14 runs,9 runs,15 runs,12 runs,3 runs,5 runs,2 runs,11 runs,7 runs
08.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",96/4 (19.1),2 runs,2 runs,9 runs,8 runs,9 runs,2 runs,2 runs,4 runs,1 run,5 runs,4 runs,12 runs,2 runs,3 runs,4 runs,5 runs,1 run,8 runs,9 runs,4 runs
08.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",93/10 (19.3),0 runs,10 runs,6 runs,1 run,2 runs,3 runs,8 runs,5 runs,7 runs,4 runs,6 runs,0 runs,5 runs,8 runs,7 runs,2 runs,8 runs,7 runs,3 runs,1 run
05.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",76/10 (19.4),11 runs,5 runs,0 runs,9 runs,10 runs,5 runs,6 runs,3 runs,4 runs,7 runs,2 runs,5 runs,6 runs,4 runs,5 runs,6 runs,7 runs,13 runs,9 runs,11 runs
05.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",128/5 (20),8 runs,7 runs,9 runs,2 runs,2 runs,2 runs,2 runs,7 runs,3 runs,2 runs,4 runs,5 runs,4 runs,2 runs,5 runs,2 runs,3 runs,2 runs,2 runs,3 runs
05.09.2021 02:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Bready Cricket Club Ground (Magheramason)",119/10 (20),8 runs,7 runs,9 runs,2 runs,2 runs,2 runs,2 runs,7 runs,3 runs,2 runs,4 runs,5 runs,4 runs,2 runs,5 runs,2 runs,3 runs,2 runs,2 runs,3 runs
05.09.2021 02:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Bready Cricket Club Ground (Magheramason)",124/4 (20),11 runs,5 runs,0 runs,9 runs,10 runs,5 runs,6 runs,3 runs,4 runs,7 runs,2 runs,5 runs,6 runs,4 runs,5 runs,6 runs,7 runs,13 runs,9 runs,11 runs
03.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",141/6 (20),4 runs,6 runs,8 runs,1 run,8 runs,1 run,9 runs,7 runs,6 runs,7 runs,4 runs,10 runs,3 runs,11 runs,3 runs,6 runs,11 runs,9 runs,8 runs,15 runs
03.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",137/5 (20),3 runs,3 runs,9 runs,6 runs,6 runs,9 runs,6 runs,5 runs,6 runs,7 runs,12 runs,11 runs,3 runs,6 runs,11 runs,4 runs,3 runs,7 runs,13 runs,11 runs
03.09.2021 02:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Bready Cricket Club Ground (Magheramason)",174/4 (20),4 runs,6 runs,8 runs,1 run,8 runs,1 run,9 runs,7 runs,6 runs,7 runs,4 runs,10 runs,3 runs,11 runs,3 runs,6 runs,11 runs,9 runs,8 runs,15 runs
03.09.2021 02:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Bready Cricket Club Ground (Magheramason)",110/9 (20),3 runs,3 runs,9 runs,6 runs,6 runs,9 runs,6 runs,5 runs,6 runs,7 runs,12 runs,11 runs,3 runs,6 runs,11 runs,4 runs,3 runs,7 runs,13 runs,11 runs
03.09.2021 00:00,Namibia,Titans,,174/7 (20),4 runs,6 runs,8 runs,1 run,8 runs,1 run,9 runs,7 runs,6 runs,7 runs,4 runs,10 runs,3 runs,11 runs,3 runs,6 runs,11 runs,9 runs,8 runs,15 runs
03.09.2021 00:00,Namibia,Titans,,113/10 (17.2),3 runs,3 runs,9 runs,6 runs,6 runs,9 runs,6 runs,5 runs,6 runs,7 runs,12 runs,11 runs,3 runs,6 runs,11 runs,4 runs,3 runs,7 runs,13 runs,11 runs
02.09.2021 02:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Bready Cricket Club Ground (Magheramason)",178/2 (20),4 runs,6 runs,8 runs,1 run,8 runs,1 run,9 runs,7 runs,6 runs,7 runs,4 runs,10 runs,3 runs,11 runs,3 runs,6 runs,11 runs,9 runs,8 runs,15 runs
02.09.2021 02:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Bready Cricket Club Ground (Magheramason)",138/10 (18.2),3 runs,3 runs,9 runs,6 runs,6 runs,9 runs,6 runs,5 runs,6 runs,7 runs,12 runs,11 runs,3 runs,6 runs,11 runs,4 runs,3 runs,7 runs,13 runs,11 runs
02.09.2021 00:00,Namibia,Titans,,150/8 (20),3 runs,3 runs,9 runs,6 runs,6 runs,9 runs,6 runs,5 runs,6 runs,7 runs,12 runs,11 runs,3 runs,6 runs,11 runs,4 runs,3 runs,7 runs,13 runs,11 runs
02.09.2021 00:00,Namibia,Titans,,175/7 (20),4 runs,6 runs,8 runs,1 run,8 runs,1 run,9 runs,7 runs,6 runs,7 runs,4 runs,10 runs,3 runs,11 runs,3 runs,6 runs,11 runs,9 runs,8 runs,15 runs
01.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",62/3 (15),1 run,3 runs,3 runs,4 runs,1 run,10 runs,3 runs,3 runs,5 runs,4 runs,2 runs,4 runs,3 runs,9 runs,7 runs,,,,,
01.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",60/10 (16.5),2 runs,4 runs,2 runs,1 run,1 run,8 runs,5 runs,6 runs,7 runs,4 runs,4 runs,2 runs,3 runs,3 runs,3 runs,3 runs,2 runs,,,
01.09.2021 00:00,Namibia,Titans,,153/4 (20),1 run,3 runs,3 runs,4 runs,1 run,10 runs,3 runs,3 runs,5 runs,4 runs,2 runs,4 runs,3 runs,9 runs,7 runs,,,,,
01.09.2021 00:00,Namibia,Titans,,152/9 (20),2 runs,4 runs,2 runs,1 run,1 run,8 runs,5 runs,6 runs,7 runs,4 runs,4 runs,2 runs,3 runs,3 runs,3 runs,3 runs,2 runs,,,
29.08.2021 23:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Castle Avenue (Dublin)",153/3 (18.3),1 run,3 runs,3 runs,4 runs,1 run,10 runs,3 runs,3 runs,5 runs,4 runs,2 runs,4 runs,3 runs,9 runs,7 runs,,,,,
29.08.2021 23:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Castle Avenue (Dublin)",152/5 (20),2 runs,4 runs,2 runs,1 run,1 run,8 runs,5 runs,6 runs,7 runs,4 runs,4 runs,2 runs,3 runs,3 runs,3 runs,3 runs,2 runs,,,
27.08.2021 23:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Castle Avenue (Dublin)",114/9 (20),2 runs,4 runs,2 runs,1 run,1 run,8 runs,5 runs,6 runs,7 runs,4 runs,4 runs,2 runs,3 runs,3 runs,3 runs,3 runs,2 runs,,,
27.08.2021 23:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Castle Avenue (Dublin)",117/7 (20),1 run,3 runs,3 runs,4 runs,1 run,10 runs,3 runs,3 runs,5 runs,4 runs,2 runs,4 runs,3 runs,9 runs,7 runs,,,,,
10.08.2021 00:00,Bangladesh,Australia,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",122/8 (20),3 runs,3 runs,8 runs,5 runs,9 runs,3 runs,6 runs,3 runs,9 runs,2 runs,3 runs,0 runs,4 runs,4 runs,,,,,,
